"concept","topic","topic_prefix","label_de","label"
"pnerw03","T0207010000000000","rlm","Erwerbstaetigkeit Zeitpunkt","Gainfully Employed, now"
"pnerw02","T0207010000000000","rlm","Erwerbstaetigkeit in Zukunft","Gainfully Employed, future"
"pnerw01","T0207010000000000","rlm","Geeignete Stelle finden","Find Suitable Position"
"pnatnr","T1001010200000000","ona","Staatsangehoerigkeit","nationality"
"pnat16","T1003010000000000","idn","Heimisch im Heimatland","Feel At Home in Country Of Origin"
"pnat15","T1003040000000000","trr","Heimatbesuche-Dauer","Length Of Visit To Country Of Origin"
"pnat14","T1003040000000000","trr","Besuch in Herkunftsland","Visits Country Of Origin"
"pnat13","T1003020000000000","its","Weiss nicht, Aufenthalt","Do Not KNow"
"pnat12","T1003020000000000","its","Aufenthaltsdauer, Anzahl der Jahre-Wunsch","How Long Wish To Remain Germany"
"pnat11","T1003020000000000","its","Aufenthaltsdauer-Wunsch","Plans To Return To Native Country"
"pnat10","T1003020000000000","its","Fuer immer in Deutschland","Wish To Remain Germany Permanently"
"pnat09","T1003010000000000","idn","Haeufigkeit Gefuehl der Heimatlosigkeit","frequency of Feeling Of Not Belonging"
"pnat05","T1002040000000000","cil","Zeitung aus Deutschland-Herkunftsland","newspapers from germany-country of origin"
"pnat03","T1001010200000000","ona","Beantragung doppelte Staatsangeh","Apply For German Citizenship In Addition"
"pnat02","T1001010200000000","ona","in naechst. 2 Jahren dt. Staatsangerhoerigk. beantr.","apply for german nationality in next 2 years"
"pnat01","T1001010100000000","bmi","Geboren in Deutschland","Born In Germany"
"pnat0","T1001010200000000","ona","Staatsangehoerigkeit","Nationality"
"pnat","T1001010200000000","ona","Staatsangehoerigkeit","nationality"
"pnah","T0903000000000000","mob","Besitz von Dauerkarte fuer OePNV","Own A Travel Pass"
"pna15","T1003010000000000","idn","Verbundenheit Heimatland","Connected With Country Of Origin"
"pna14","T1003010000000000","idn","Als Deutscher fuehlen","Feel German"
"pna09","T1002020000000000","dis","Benachteiligung wg. Herkunft","Disadvantages Due To Origin"
"pna08","T1002040000000000","cil","Muttersprache schreiben, Selbsteinschaetzung","Written Language Country of Origin"
"pna07","T1002040000000000","cil","Muttersprache sprechen, Selbsteinschaetzung","Spoken Language Country of Origin"
"pna06","T1002040000000000","cil","Deutsch schreiben, Selbsteinschaetzung","Own Opinion of Written German"
"pna05","T1002040000000000","cil","Deutsch sprechen, Selbsteinschaetzung","Own Opinion of Spoken German"
"pna04","T1002040000000000","cil","Umgangssprache","Usual Language Spoken"
"pna03","T1002030000000000","ics","Besuche von Deutschen letzte 12 Mon","Received Visits from Germans Previous Yr"
"pna02","T1002030000000000","ics","Besuche bei Deutschen letzte 12 Mon","Visited Germans Previous Yr"
"pmusp7","T1002040000000000","cil","Lesekompetenz: Herkunfts-, Elternsprache","Reading Ability: Language Country of Origin"
"pmusp6","T1002040000000000","cil","Lesekompetenz: deutsch","Reading Ability: German"
"pmusp5","T1002040000000000","cil","Schreibkompetenz: Herkunfts-,Elternsprache","Written Ability: Language Country Of Origin"
"pmusp4","T1002040000000000","cil","Sprechkompetenz: Herkunfts-,Elternsprache","Oral Ability: Language Country Of Origin"
"pmusp3","T1002040000000000","cil","Schreibkompetenz: deutsch","Written Ability: German"
"pmusp2","T1002040000000000","cil","Sprechkompetenz: deutsch","Oral Ability: German"
"pmusp1","T1001010100000000","bmi","Muttersprache deutsch: beide Eltern","Mother Tongue German: Both Parents"
"pmas11","T0803000000000000","per","Positive Einstellung zu mir selbst","positive attitude to myself"
"pmas10","T0803000000000000","per","Versuche, mir angetanes Unrecht schnell zu vergessen","try to forget injustice done to me"
"pmas09","T0803000000000000","per","Tendenziell nachtragend","unforgiving by trend"
"pmas08","T0803000000000000","per","Denke lange ueber erfahrenes Unrecht nach","think about experienced injustice very long"
"pmas07","T0803000000000000","per","Komme schnell ueber emotionale Verletzung hinweg","overcome emotional violation very fast"
"pmas06","T0803060000000000","rec","Helfe jemandem, der mir frueher geholfen hat","Help those who have helped me in the past"
"pmas05","T0803060000000000","rec","Beleidige die, die mich beleidigt haben","Insult those who insult me"
"pmas04","T0803060000000000","rec","Helfe jemandem, der mir geholfen hat","Help those who help me"
"pmas03","T0803060000000000","rec","Bringe anderen in schwierige Lage, wie der mich","Cause similar problems to those who cause me problems"
"pmas02","T0803060000000000","rec","Raeche mich fuer schweres Unrecht","Get revenge for severe injustices"
"pmas01","T0803060000000000","rec","Erwidere Gefallen","Return favors"
"plj0093","T1003040000000000","trr","Lebt Ehepartner in Deutschland","Spouse In Germany"
"plj0084","T1003020000000000","its","Wie lange wollen Sie in Dt. bleiben","Plans To Return To Native Country"
"plj0050","T1002030000000000","ics","Wie viele Mitschueler waren Auslaender","Number Of Foreign Classmates"
"plj0049","T1002030000000000","ics","Letzte Schulklasse auch dt.Schueler","Previous Class Had German Students"
"plj0036","T1001030000000000","igm","Umzug von Freunden, etc. in den Westen","Know Persons Who Moved To The West"
"plj0035","T1001030000000000","igm","Verzug von Arb.koll. in BRD","Acquaintenences Moved To FRG"
"plj0034","T1001030000000000","igm","Verzug guter Freunde in BRD","Close Friends Moved To FRG"
"plj0033","T1001030000000000","igm","Verzug von engen Verwandten in BRD","Close Relatives Moved To FRG"
"plj0032","T1001030000000000","igm","kein Verzug von Verw.,Bek.,Koll. aus DDR","No Relatives,Friends Moved From GDR"
"plj0031","T0702040000000000","vof","Zusammensetzung der Klasse","Composition Of Classroom"
"plj0030","T0702040000000000","vof","Vorher spezielle Vorbereitungsklasse","Special Preparatory Class"
"plj0029","T0702040000000000","vof","Welche Klasse in deutscher Schule","Grade Started At School In Germany"
"plj0028","T0702010000000000","slc","Schulbesuch in Deutschland","School In Germany"
"plj0013","T1001010200000000","ona","Staatsangehoerigkeit","Nationality"
"plj0005","T1001010100000000","bmi","Monat Zuzug Deutschland","Month Moved To Germany"
"plj0004","T1001010100000000","bmi","Jahr Zuzug Deutschland","Year Moved To Germany"
"pliz5","T0903000000000000","mob","Kein Fuehrerschein","No License"
"pliz4","T0903000000000000","mob","LKW-Fuehrerschein","Truck-License"
"pliz3","T0903000000000000","mob","PKW-Fuehrerschein","Car-License"
"pliz2","T0903000000000000","mob","Motorrad-Fuehrerschein","Motorcycle-License"
"pliz1","T0903000000000000","mob","Moped/Mofa-Fuehrerschein","Moped-License"
"plh0256","T0804000000000000","mbr","Mitglied in einer Genossenschaft","Member Of A Cooperative"
"plh0151","T0803010000000000","sat","Allgemeine Lebenszufriedenheit,heute","Satisfaction With Life Today"
"plh0149","T0803010000000000","sat","Allg. Lebenszufriedenheit vor 5 Jahren","Satisfaction With Life Five Years Ago"
"plh0148","T0803010000000000","sat","Zufriedenheit soziale Sicherheit der DDR","Satisfaction With Social Security System"
"plh0147","T0803010000000000","sat","Zufriedenheit mit Demokration in der DDR","Satisfaction With Democracy"
"plh0069","T0802020000000000","vda","Wert: sich selbst zu verwirklichen","Importance Of Self-Fulfillment"
"plh0068","T0802020000000000","vda","Wert: sich gegenseitig helfen","Importance Of Being There For Others"
"plh0067","T0802020000000000","vda","Wert: unabhaengig sein","Importance Of Being Independent"
"plh0066","T0802020000000000","vda","Wert: das Leben geniessen","Importance Of Enjoying Life"
"plh0065","T0802020000000000","vda","Wert: nach Wohlstand streben","Importance Of Being Well Off"
"plh0064","T0802020000000000","vda","Wert: in der Arbeit etwas leisten","Importance Of Success In Job"
"plh0063","T0802020000000000","vda","Wert: auf Sicherheit bedacht sein","Importance Of Being Secure"
"plh0062","T0802020000000000","vda","Wert: Pflichtbewusstsein","Importance Of Being Dutiful"
"plh0010","T0801020000000000","pty","Staerke Parteizuneigung","Amount Of Support For Political Party"
"plh0009","T0801020000000000","pty","Parteienidentifikation","Political Party Supported"
"plh0008","T0801020000000000","pty","Allgemeine Parteienpraeferenz","Supports Political Party"
"plg0249","T0707010000000000","ped","Schulabschluss der Mutter","School Degree Obtained By Mother"
"plg0248","T0707010000000000","ped","Schulabschluss des Vaters","School Degree Obtained By Father"
"plg0093","T0703030000000000","vly","Sonstige Ausbildung","Other Training,Education"
"plg0092","T0703030000000000","vly","Allgemeine Weiterbildung","Continuing General Education"
"plg0091","T0703030000000000","vly","Berufliche Rehabilitation","Vocational Rehabilitation"
"plg0090","T0703030000000000","vly","Berufliche Fortbildung","Vocational Further Education"
"plg0089","T0703030000000000","vly","Berufliche Umschulung","Vocational Retraining"
"plg0088","T0703030000000000","vly","Meisterausbildung","Master Craftsman Training"
"plg0087","T0703030000000000","vly","Ausbildung, Erwachsenenqualifizierung","Vocational Training In Adult Education"
"plg0086","T0703030000000000","vly","Berufsausbildung mit Abitur","Vocational Training: High School Degree"
"plg0085","T0703030000000000","vly","Berufsausbildung","Vocational Training"
"plg0065","T0702030000000000","vod","Sonstige Ausbildung","Other Education,Training"
"plg0064","T0702030000000000","vod","Hochschule","College"
"plg0063","T0702030000000000","vod","Berufsbildende Schule","Vocational School"
"plg0062","T0702030000000000","vod","Laengere betriebliche Ausbildung","Occupational Training"
"plg0061","T0702030000000000","vod","Im Betrieb angelernt","Apprenticed"
"plg0060","T0702030000000000","vod","Berufl.Ausbildung ausserh.Dtl.","Vocational Training Outside Germany"
"plg0059","T0702030000000000","vod","Sonstiger Berufsabschluss","Other Type Of Education Completed"
"plg0058","T0702030000000000","vod","Universitaet,Hochschule","University,College"
"plg0057","T0702030000000000","vod","Fachhochschule,Ingenieurschule","Specialized Technical,Engineering School"
"plg0056","T0702030000000000","vod","Beamtenausbildung","Civil Servant Training"
"plg0055","T0702030000000000","vod","Fachschule","Specialized Technical School"
"plg0054","T0702030000000000","vod","Schule des Gesundheitswesen","Health Care School"
"plg0053","T0702030000000000","vod","Berufsfach-,Handelsschule","Specialized Vocational School"
"plg0052","T0702030000000000","vod","Kaufmaennische oder sonstige Lehre","Business Or Other Apprentice"
"plg0051","T0702030000000000","vod","Gewerbliche oder landwirtschaftl. Lehre","Trade,Farming Apprentice"
"plg0050","T0702030000000000","vod","Dt.Ausbildungs- oder Hochschulabschl.","College Degree In Germany"
"plg0049","T0702030000000000","vod","Berufsausbildung oder Studium in Dtl.","Training,Education In Germany"
"plg0041","T0702030000000000","vod","Welcher sonstige Berufsabschluss","Type Of Other Training,Education"
"plg0035","T0702010000000000","slc","Art Schule ausserhalb Dtl.","Type Of School Outside Germany"
"plg0034","T0702010000000000","slc","Schulbesuch ausserhalb Dtls.","School Outside Germany"
"plg0033","T0702010000000000","slc","Art deutscher Schulabschluss","Type Of School-Leaving Degree"
"plg0032","T0702010000000000","slc","Deutscher Schulabschluss","School-Leaving Degree In Germany"
"plg0031","T0702010000000000","slc","welchen anderen Schulabschluss","Other School-Leaving Degree"
"plg0006","T0701010000000000","tft","Berufsausbild. Erwachsenenqualifizierung","Vocational Training In Adult Education"
"plg0005","T0701010000000000","tft","Berufsausbildung mit Abitur","Vocational Training: High School Degree"
"plg0004","T0701010000000000","tft","Berufsausbildung","Vocational Training"
"plg0003","T0701010000000000","tft","Meisterausbildung","Master Craftsman Training"
"plg0002","T0701010000000000","tft","Sonstige allgemeinbildende Schule, DDR","Other Type Of Education"
"plg0001","T0701010000000000","tft","Allgemeinbildende Schule, DDR-System,Art","General-Education School"
"plf0055","T0610030000000000","aws","Motivation: finanzielle Vorteile","Financial Advantage"
"plf0054","T0610030000000000","aws","Motivation: Hilfsbereitschaft","Ready To Help Out"
"plf0053","T0610030000000000","aws","Motivation: benoetige selbst Hilfe","Need Help Myself"
"plf0052","T0610030000000000","aws","Unterstuetzung anderer bei Kauf, etc.","Help By Procuring,Buying For Others"
"plf0051","T0610030000000000","aws","Unterstuetzung bei Kauf,etc.durch andere","Help By Procuring,Buying Through Others"
"plf0035","T0610010200000000","olm","Gibt sonst keine Moeglichkeit","No Other Way"
"plf0016","T0607020000000000","seh","Von welcher Wohnung zur Arbeit, Schule","From Which Dwelling To Work"
"plf0015","T0607020000000000","seh","Ueberwiegend genutzte Wohnung","Dwelling Used Predominantly"
"plf0014","T0607020000000000","seh","Andere Wohnung in Deutschland","Second Residence"
"plf0011","T0606030000000000","cob","Geburtsland","Country Born In"
"pleist5","T0203040100000000","wkc","Einfluss Leistungsbew. auf moegliche Befoerderungen","Influence of evaluation on possible promotion"
"pleist4","T0203040100000000","wkc","Einfluss Leistungsbew. auf spaetere Gehaltserhoehung","Influence of evaluation on future raises"
"pleist3","T0203040100000000","wkc","Einfluss Leistungsbew. auf jaehrliche Zulage, Praemie","Influence of evaluation on annual bonuses"
"pleist2","T0203040100000000","wkc","Einfluss Leistungsbew. auf Bruttogehalt","Influence of evaluation on gross wages"
"pleist1","T0203040100000000","wkc","Leistungsbewertung durch Vorgesetzte","Performance evaluation by supervisor"
"pleb02c","T0304030000000000","ori","CAPI Rueckkaufwert ueber 5.000 EURO","CAPI Cash Surrender Value Over 20.000 EURO"
"pleb02b","T0304030000000000","ori","CAPI Rueckkaufwert ueber 100.000 EURO","CAPI Cash Surrender Value Over 100.000 EURO"
"pleb02a","T0304030000000000","ori","CAPI Rueckkaufwert ueber 20.000 EURO","CAPI Cash Surrender Value Over 20.000 EURO"
"pleb02","T0304030000000000","ori","Rueckkaufwert Vers. o. Geldanlagen","Cash Surrender Value Of Policies"
"pleb01","T0304030100000000","oti","Besitz v. Lebens-, Rentenvers. etc.","Possess Life Insurance, Private Pension, etc."
"ple0002","T0501010000000000","hco","Geburtsjahr","Year Of Birth"
"pld0130","T0406040000000000","ebc","Familienstand","Marital Status: Not Married"
"pld0129","T0406040000000000","ebc","Verheiratet","Marital Status: Married"
"pld0128","T0405010200000000","fbr","Transfer an Angehoerige","Financial Transfers To Relatives"
"pld0127","T0405010200000000","fbr","Betrag 1994","Amount To German Relatives Not In HH"
"pld0126","T0405010200000000","fbr","Transfer an Angehoerige","Payments To German Relatives Not In HH"
"pld0125","T0405010200000000","fbr","Angehoerige in D","German Relatives Not In HH"
"pld0124","T0405010200000000","fbr","Betrag Sonstiges","Amount Of Money Given To Others Prev Yr"
"pld0123","T0405010200000000","fbr","Betrag Ruecklagen","Amount Of Money Towards Savings Prev Yr"
"pld0122","T0405010200000000","fbr","Betrag fuer Familie","Amount Of Money Given Family Prev Yr"
"pld0121","T0405010200000000","fbr","Betrag insgesamt","Amount Sent To Native Country Prev Yr"
"pld0120","T0405010200000000","fbr","Geldtransfer ins Heimatland","Sent Money To Native Country Prev Yr"
"pld0061","T0404040000000000","ntf","Nationalitaet Person C","Nationality Of Third Person Befriended"
"pld0060","T0404040000000000","ntf","Nationalitaet Person B","Nationality Of Second Person Befriended"
"pld0059","T0404040000000000","ntf","Nationalitaet Person A","Nationality Of First Person Befriended"
"pld0005","T0401000000000000","fno","Aufenthaltsort Mutter","Mother In Germany"
"pld0004","T0401000000000000","fno","Aufenthaltsort Vater","Father In Germany"
"pld0003","T0401000000000000","fno","Eltern im HH","Parents In Household"
"plc0266","T0303030000000000","wid","Bezug Witwen-,Waisenrente Mai 1989","Widow-Er,Orphan Benefit May 89"
"plc0262","T0303030000000000","wid","Kein Rentenbezug","Drawing None Of These Benefits"
"plc0261","T0303030000000000","wid","Bezug von Witwen- o. Waisenrente/Jahr","Year Began Drawing Widow-Er Orphan Benefit"
"plc0260","T0303030000000000","wid","Bezug von Witwen- o. Waisenrente","Drawing Widow-Er,Orphan Benefit"
"plc0259","T0303030000000000","wid","Betrag Witwen-,Waisenrente Mai 1990","Amount Of Widow-Er,Orphan Benefit May 90"
"plc0258","T0303030000000000","wid","Bezug Witwen-,Waisenrente Mai 1990","Widow-Er,Orphan Benefit May 90"
"plc0257","T0303030000000000","wid","Betrag Witwen-,Waisenrente Mai 1989","Amount Of Widow-Er,Orphan Benefit May 89"
"plc0221","T0303010000000000","old","Bezug eigener Rente Mai 1989","Old-Age,Invalid Pension May 89"
"plc0213","T0303010000000000","old","Bezug von Invalidenrente,Jahr","Year Began Drawing Invalidity Benefit"
"plc0212","T0303010000000000","old","Bezug von Invalidenrente","Drawing Invalidity Benefit"
"plc0211","T0303010000000000","old","Bezug von Altersrente,Jahr","Year Began Drawing Old-Age Pension"
"plc0210","T0303010000000000","old","Bezug von Altersrente","Drawing Old-Age,Invalid Pension"
"plc0209","T0303010000000000","old","Betrag eigene Rente Mai 1990","Amount Of Old-Age,Invalid Pension May 90"
"plc0208","T0303010000000000","old","Bezug eigener Rente Mai 1990","Old-Age,Invalid Pension May 90"
"plc0207","T0303010000000000","old","Betrag eigene Rente Mai 1989","Amount Of Old-Age,Invalid Pension May 89"
"plc0199","T0302020600000000","prt","Bezug Unterstuetzung a. des HH Mai 1989","Income-Persons Not In HH May 89"
"plc0197","T0302020600000000","prt","Betrag Unterstuetzung a. des HH Mai 1990","Amount Of Income-Persons Not In HH May 90"
"plc0196","T0302020600000000","prt","Bezug Unterstuetzung a. des HH Mai 1990","Income-Persons Not In HH May90"
"plc0195","T0302020600000000","prt","Betrag Unterstuetzung a. des HH Mai 1989","Amount Of Income-Persons Not In HH May 89"
"plc0194","T0302020600000000","prt","Betrag sonstige Unterstuetzung Mai 1990","Amount Of Other Income May 90"
"plc0193","T0302020600000000","prt","Bezug sonstiger Unterstuetzung Mai 1990","Other Income May 90"
"plc0192","T0302020600000000","prt","Betrag sonstige Unterstuetzung Mai 1989","Amount Of Other Income May 89"
"plc0191","T0302020600000000","prt","Bezug sonstiger Unterstuetzung Mai 1989","Other Income May 89"
"plc0166","T0302020400000000","bfg","Bezug Stipendium Mai 1989","Student Grant May 89"
"plc0165","T0302020400000000","bfg","Betrag Stipendium Mai 1990","Amount Of Student Grant May 90"
"plc0164","T0302020400000000","bfg","Bezug Stipendium Mai 1990","Student Grant May 90"
"plc0163","T0302020400000000","bfg","Betrag Stipendium Mai 1989","Amount Of Student Grant May 89"
"plc0151","T0302020200000000","pmc","Bezug Schwangersch.-u.Wochengeld Mai 1989","Maternity Benefit May 89"
"plc0150","T0302020200000000","pmc","Bruttobetrag Freistellung Muetterjahr","Gross Amount Of Maternity Leave"
"plc0149","T0302020200000000","pmc","Betrag Freistellung Mutterjahr Mai 1990","Amount Of Maternity Leave May 90"
"plc0148","T0302020200000000","pmc","Bezahlte Freistellung Mutterjahr Mai 1990","Maternity Leave May 90"
"plc0147","T0302020200000000","pmc","Betrag Freistellung Mutterjahr Mai 1989","Amount Of Maternity Leave May 89"
"plc0146","T0302020200000000","pmc","Bezahlte Freistellung Mutterjahr Mai 1989","Maternity Leave May 89"
"plc0145","T0302020200000000","pmc","Betrag Schwangersch.-u.Wochengeld Mai 90","Amount Of Maternity Benefit May 90"
"plc0144","T0302020200000000","pmc","Bezug Schwangersch.-u.Wochengeld Mai 1990","Maternity Benefit May 90"
"plc0143","T0302020200000000","pmc","Betrag Schwangersch.-u.Wochengeld Mai 1990","Amount Of Maternity Benefit May 89"
"plc0127","T0302020100000000","ueb","Arbeitslosengeld Mai 1990","Amount Of Unemployment Benefit May 90"
"plc0125","T0302020100000000","ueb","Bezug Arbeitslosengeld Mai 1989","Unemployment Benefit May 89"
"plc0124","T0302020100000000","ueb","Bezug Arbeitslosengeld Mai 1990","Unemployment Benefit May 90"
"plc0123","T0302020100000000","ueb","Arbeitslosengeld Mai 1989","Amount Of Unemployment Benefit May 89"
"plc0122","T0302010200000000","sas","Betrag Sozialfuersorge Mai 1990","Amount Of Social Welfare May 90"
"plc0121","T0302010200000000","sas","Bezug Sozialfuersorge Mai 1990","Social Welfare May 90"
"plc0120","T0302010200000000","sas","Betrag Sozialfuersorge Mai 1989","Amount Of Social Welfare May 89"
"plc0119","T0302010200000000","sas","Bezug Sozialfuersorge Mai 1989","Social Welfare May 89"
"plc0118","T0302010100000000","cbe","Kindergeld,Betrag","Family Allowance Last Month"
"plc0103","T0302000000000000","trf","Keine der Einkuenfte Mai 1989","No Income:Listed Sources May 89"
"plc0096","T0302000000000000","trf","keine der Einkuenfte Mai 1990","No Income:Listed Sources May 90"
"plc0072","T0301020200000000","sem","Bruttobetrag selbst. Taetigkeit Mai 1990","Amount Of Self-Employment Income May 90"
"plc0071","T0301020200000000","sem","Bruttobetrag selbst. Taetigkeit Mai 1989","Amount Of Self-Employment Income May 89"
"plc0060","T0301020102000000","sij","Bruttobetrag Nebenverdienst Mai 1990","Amount Of Second Job Income May 90"
"plc0059","T0301020102000000","sij","Bruttobetrag Nebenverdienst Mai 1989","Amount Of Second Job Income May 89"
"plc0022","T0301020101000000","ads","Keine Praemie","No Bonuses"
"plc0021","T0301020101000000","ads","Weitere Praemien  - Betrag","Amount Of Additional Bonuses"
"plc0020","T0301020101000000","ads","Weitere Praemien","Additional Bonuses"
"plc0019","T0301020101000000","ads","Jahresendpraemie - Betrag","Amount Of End Of Year Bonus"
"plc0018","T0301020101000000","ads","Jahresendpraemie","End Of Year Bonus"
"plc0007","T0301010300000000","sue","Einkommesgerechtigkeit: vgl. BRD","Income Corresponds To FRG Co-Workers"
"plc0006","T0301010300000000","sue","Einkommensgerechtigkeit: vgl. Kollegen","Income Corresponds To Co-Workers"
"plc0005","T0301010300000000","sue","Gerechtigkeit: bezuegl. Arbeitsbelastung","Income Corresponds To Work Load"
"plc0004","T0301010300000000","sue","Gerechtigkeit: bezuegl. Ausbildung","Income Corresponds To Education"
"plc0003","T0301010300000000","sue","Gerechtigkeit: bezuegl. Arbeitsleistung","Income Corresponds To Work Done"
"plb0476","T0208020300000000","isj","Nebenverdienst Mai 1989","Second Job Income May 89"
"plb0475","T0208020300000000","isj","Nebenverdienst Mai 1990","Second Job Income May 90"
"plb0473","T0208020200000000","ise","Einkommen aus selbst. Taetigkeit Mai 1989","Self-Employment Income May 89"
"plb0472","T0208020200000000","ise","Einkommen aus selbst. Taetigkeit Mai 1990","Self-Employment Income May 90"
"plb0470","T0208020100000000","wsp","Lohn,Gehalt -Mai,1989- vorhanden","Wages,Salary May 89"
"plb0469","T0208020100000000","wsp","Lohn,Gehalt -Mai,1990- Betrag","Amount Of Wages,Salary May 90"
"plb0468","T0208020100000000","wsp","Lohn,Gehalt -Mai,1990- vorhanden","Wages,Salary May 90"
"plb0467","T0208020100000000","wsp","Lohn,Gehalt -Mai,1989- Betrag","Amount Of Wages,Salary May 89"
"plb0459","T0207030000000000","pow","Ansprueche aus deutscher RV","Claim To German Pension Insurance"
"plb0458","T0207030000000000","pow","Rueckkehr in Heimat,in D. bleiben","Stay In Germany Or Return To Homeland"
"plb0457","T0207030000000000","pow","Ende der Erwerbstaetigkeit in D.,k.A.","Unknown When Employment In Germany Ends"
"plb0456","T0207030000000000","pow","Erwartetes Ende d. Erwerbst. in D.,Jahre","Expected Year Employment In Germany Ends"
"plb0431","T0207020000000000","cex","Entlassung vieler Beschaeftigter","Chance Of Lay-Off"
"plb0277","T0205010000000000","oct","Beschaeftigungsbeginn letzter AG, Jahr","Year Last Job Began"
"plb0264","T0204040200000000","dmy","keine Fehlzeiten 1990","No Days Absent Current Year"
"plb0263","T0204040200000000","dmy","Ausfallz. wg. bez. Freistellung 90-Tage","Absent Paid Discret. Use Current Year"
"plb0262","T0204040200000000","dmy","Ausfallz.wg. unbez. Freistellung 90-Tage","Absent Discretionary Use Current Year"
"plb0261","T0204040200000000","dmy","Ausfallz.wg. Krankheit d. Kindes 90-Tage","Absent Children Sick Current Year"
"plb0260","T0204040200000000","dmy","Ausfallz. wg. eigener Krankheit 90-Tage","Absent Sick Current Year"
"plb0259","T0204040200000000","dmy","keine Fehlzeiten 89","No Days Absent Previous Year"
"plb0258","T0204040200000000","dmy","Ausfallz. wg. bez. Freistellung 89-Tage","Absent Paid Discret. Use Previous Year"
"plb0257","T0204040200000000","dmy","Ausfallz.wg. unbez. Freistellung 89-Tage","Absent Discretionary Use Previous Year"
"plb0256","T0204040200000000","dmy","Ausfallz.wg. Krankheit d. Kindes 89-Tage","Absent Children Sick Previous Year"
"plb0255","T0204040200000000","dmy","Ausfallz. wg. eig. Krankheit 1989-Tage","Absent Sick Previous Year"
"plb0254","T0204040200000000","dmy","Fehlzeiten: durch sonstiges,keine","No Time Lost Because Of Other Reasons"
"plb0253","T0204040200000000","dmy","Fehlzeiten: wegen sonstiges,Stunden","Hours Absent Because Of Other Reasons"
"plb0252","T0204040200000000","dmy","Fehlzeiten: Warte-,Stillstandszeit,keine","No Time Lost Because Of Strike"
"plb0251","T0204040200000000","dmy","Fehlzeiten:Warte-,Stillstandszeiten,Std.","Hours Absent Because Of Strike"
"plb0250","T0204040200000000","dmy","Ausfall-, Fehlzeiten: durch bezahlte Fre","No Time Lost Due To Paid Discret. Use"
"plb0249","T0204040200000000","dmy","Fehlzeiten:bezahlte Freistellung,Stunden","Hours Absent Due To Paid Discret. Use"
"plb0248","T0204040200000000","dmy","Fehlzeiten:unbezahlte Freistellung,keine","No Time Lost Due To Discretionary Use"
"plb0247","T0204040200000000","dmy","Fehlzeiten: unbezahlte Freistellung,Std.","Hours Absent Due To Discretionary Use"
"plb0246","T0204040200000000","dmy","Fehlzeiten: Krankheit der Kinder,keine","No Time Lost Because Children Are Sick"
"plb0245","T0204040200000000","dmy","Fehlzeiten: Krankheit der Kinder,Stunden","Hours Absent Because Children Are Sick"
"plb0244","T0204040200000000","dmy","Fehlzeiten: wegen Krankheit,keine","No Time Lost Due To Being Sick"
"plb0243","T0204040200000000","dmy","Fehlzeiten: wegen Krankheit,Stunden","Hours Absent Due To Being Sick"
"plb0242","T0204040200000000","dmy","Ausfall- oder Fehlzeiten letzter Monat","Absent Last Month"
"plb0178","T0204010100000000","whr","Tatsaechliche Arbeitszeit-Nachkommastell","Actual Hours Of Work Per Week (Fraction)"
"plb0177","T0204010100000000","whr","Wochenarbeitszeit - Nachkommastelle","Agreed Upon Hours Of Work Per Week"
"plb0138","T0203050100000000","dtw","Hauptgrund fuer Arbeit im Westen","Main Reason For Working In The West"
"plb0056","T0205050000000000","jcl","Bauern,in der Landwirtschaft taetig","Last Worked As Farmer"
"plb0052","T0203020400000000","cdv","Betroffenheit Entlassungen im Betrieb","Affected By Company Lay-Offs"
"plb0051","T0203020400000000","cdv","Ankuendigung von Entlassungen","Lay-Offs At Company"
"plb0046","T0203020300000000","cts","Rechtsform des Betriebes","Type Of Operation"
"plb0045","T0203020300000000","cts","Aenderung Unternehmensform des Betriebes","Change In Operation Of Company"
"plb0039","T0203020100000000","ind","Staatsapparat o. oeffentl. Dienst","Civil Service"
"plb0027","T0203010000000000","sde","Neuer Arbeitsvertrag nach 30. Juni 1990","Extended Contract After June 30th Prev Yr"
"pla0008","T0102000000000000","sex","Geschlecht","Sex"
"pla0007","T0101000000000000","bad","Alter des fuenftjuengsten Kindes","Age Of Fifth Youngest Child"
"pla0006","T0101000000000000","bad","Alter des viertjuengsten Kindes","Age Of Fourth Youngest Child"
"pla0005","T0101000000000000","bad","Alter des drittjuengsten Kindes","Age Of Third Youngest Child"
"pla0004","T0101000000000000","bad","Alter des zweitjuengsten Kindes","Age Of Second Youngest Child"
"pla0003","T0101000000000000","bad","Alter des juengsten Kindes","Age Of Youngest Child"
"pla0002","T0101000000000000","bad","Geburtsjahr der Mutter","Birth Year Of Mother"
"pla0001","T0101000000000000","bad","Geburtsjahr des Vaters","Birth Year Of Father"
"pkv14","T0504030000000000","chi","Wechsel der KV wenn Zusatzbeitrag","Change Of Health Insurance Provider Because Of Extra Pay"
"pkv13","T0504020000000000","tin","Zusatzbeitrag o. Praemie an/von GKV","Additional Contribution or bonus to/from GKV"
"pkv12","T0504020000000000","tin","weiss nicht, was priv. Zusatzv. abdeckt","do not know, covered  by private insurance"
"pkv11","T0504020000000000","tin","Sonstiges abgedeckt durch priv. Zusatzv.","other covered by private insurance"
"pkv10","T0504020000000000","tin","Auslandsaufenthalt abfedeckt durch priv. Zusatzv.","Coverage Abroad by private insurance"
