study,questionnaire,question,item,concept,text_de,instruction_de,text,instruction,answer_list,scale,filter,goto,description
soep-core,soep-core-2012-e5,5,,,Inwieweit entsprechen die folgenden Schulabschlüsse Ihrer persönlichen Idealvorstellung für die schulische Ausbildung des Kindes?,"Antworten Sie bitte anhand einer Skala von 1 bis 7.
Der Wert 1 bedeutet, dass der Abschluss ""überhaupt nicht"", der Wert 7 ""voll und ganz"" Ihren persönlichen Vorstellungen entspricht.
Mit den Werten zwischen 1 und 7 können Sie Ihre Meinung abstufen.",To what extent do the following secondary school-leaving certificates correspond to the ideal education you would like for your child?,"Please answer on a scale from 1 to 7, where 1 means “not  at all” and 7 means “completely”",,txt,,,"Researcher Notes:
Statement 1 = ESCH1
**Statement 2 = ESCH2
**Statement 3 = ESCH3
"
soep-core,soep-core-2012-e5,5,esch1,esch1,Hauptschulabschluss,,Lower secondary school-leaving certificate (Hauptschulabschluss),,esch x 1,cat,,,
soep-core,soep-core-2012-e5,5,esch2,esch2,Realschulabschluss,,"Intermediate secondary school-leaving certificate (Mittlere Reife, Realschulabschluss)",,esch x 1,cat,,,
soep-core,soep-core-2012-e5,5,esch3,esch3,Abitur,,Upper secondary school-leaving certificate (Abitur),,esch x 1,cat,,,
soep-core,soep-core-2012-e5,6,,,"Und für wie wahrscheinlich halten Sie es, dass das Kind die Schule mit einem der folgenden Abschlüsse verlassen wird?","Antworten Sie bitte wieder anhand einer Skala von 1 bis 7.
Der Wert 1 bedeutet dieses Mal ""ausgeschlossen"" und der Wert 7 bedeutet ""ganz sicher"".",How likely do you think it is that your child will obtain one of the following school-leaving qualifications?,"Please answer on a scale from 1 to 7, where 1 means “not  at all” and 7 meaning “completely”",,txt,,,"Researcher Notes:
Statement 1 = ESCH4
**Statement 2 = ESCH5
**Statement 3 = ESCH6
"
soep-core,soep-core-2012-e5,6,esch4,esch4,Hauptschulabschluss,,Lower secondary school-leaving certificate (Hauptschulabschluss),,esch x 2,cat,,,
soep-core,soep-core-2012-e5,6,esch5,esch5,Realschulabschluss,,"Intermediate secondary school-leaving certificate (Mittlere Reife, Realschulabschluss)",,esch x 2,cat,,,
soep-core,soep-core-2012-e5,6,esch6,esch6,Abitur,,Upper secondary school-leaving certificate (Abitur),,esch x 2,cat,,,
soep-core,soep-core-2012-e5,7,,,Welche Schule besucht bzw. besuchte das Kind im Schuljahr 2011/2012?,,What school does/did your child attend in 2011/2012?,,,txt,,,
soep-core,soep-core-2012-e5,7,esch7,esch7,Grundschule,,Elementary school (Grundschule),,,bin,,,
soep-core,soep-core-2012-e5,7,esch12,esch12,Hauptschule,,Lower secondary school (Hauptschule),,,bin,,,
soep-core,soep-core-2012-e5,7,esch13,esch13,Realschule,,Intermediate secondary school (Realschule),,,bin,,,
soep-core,soep-core-2012-e5,7,esch14,esch14,Gymnasium,,Upper secondary school (Gymnasium),,,bin,,,
soep-core,soep-core-2012-e5,7,esch15,esch15,Gesamtschule,,Comprehensive school (Gesamtschule),,,bin,,,
soep-core,soep-core-2012-e5,7,esch8,esch8,"Schule mit einem speziellen pädagogischen Konzept, z.B. Montessori, Waldorf",,"School with special pedagogic concept (Montessori, Waldorf)",,,bin,,,
soep-core,soep-core-2012-e5,7,esch9,esch9,"Förderschule, Sonderschule, Sprachheilschule",,"School for children with learn difficulties (Förderschule, Sonderschule, Sprachheilschule)",,,bin,,,
soep-core,soep-core-2012-e5,7,esch10,esch10,Sonstige Schule,,Other school,,,bin,,,
soep-core,soep-core-2012-e5,7,esch11,esch11,[Sonstige Schule] und zwar:,,[Other school]:,,,chr,7:esch10=1,,"Filter:
ASK ONLY IF Q701 : ESCH X 3=10
"
soep-core,soep-core-2012-e5,7,11,,Wann wurde das Kind eingeschult? ,,When did the child start school?,,,txt,7:esch7=1 | 7:esch12=1 | 7:esch13=1 | 7:esch14=1 |  7:esch15=1 | 7:esch8=1 | 7:esch9=1 | 7:esch10=1,,
soep-core,soep-core-2012-e5,7,eschmo,eschmo,Monat,,Month,,,int,,,
soep-core,soep-core-2012-e5,7,eschj,eschj,Jahr,,Year,,,int,,,
soep-core,soep-core-2012-e5,8,,,Welche Note hatte das Kind in seinem letzten Zeugnis in den folgenden zwei Fächern?,,What was the child's grade in the following two subjects on his/her last report card?,,,txt,,,
soep-core,soep-core-2012-e5,8,enot1,enot1,Deutsch [Schulnote von 1 bis 6],,German [grade from 1 to 6],,,int,,,
soep-core,soep-core-2012-e5,8,enot2,enot2,Mathematik [Schulnote von 1 bis 6],,Mathematics [grade from 1 to 6],,,int,,,
soep-core,soep-core-2012-e5,8,enot3,enot3,"Trifft nicht zu, keine Schulnoten im Zeugnis erhalten",,"Does not apply, no grades on report card.",,,bin,,,
soep-core,soep-core-2012-e5,9,,,In welcher Weise suchen Sie den Kontakt mit der Schule?,Bitte alles Zutreffedne ankreuzen!,How do you make contact with the school?,Please mark all that apply!,,txt,,,"Researcher Notes:
Statement 1 = EELT11
**Statement 2 = EELT12
**Statement 3 = EELT13
**Statement 4 = EELT14
**Statement 5 = EELT16
**Statement 6 = EELT17
**Statement 7 = EELT15
"
soep-core,soep-core-2012-e5,9,eelt11,eelt11,Regelmäßige Teilnahme am Elternabend,,Attend parent evenings at the school on a regular basis,,,bin,,,
soep-core,soep-core-2012-e5,9,eelt12,eelt12,Regelmäßige Teilnahme von Elternsprechtagen,,Attend parent-teacher conference days on a regular basis,,,bin,,,
soep-core,soep-core-2012-e5,9,eelt13,eelt13,Aufsuchen des Lehrers/der Lehrerin auch außerhalb von Sprechtagen,,Meet with teacher outside of parent-teacher conference days,,,bin,,,
soep-core,soep-core-2012-e5,9,eelt14,eelt14,Engagement als Elternvertreter,,Serve as a parent representative in the parent-teacher association,,,bin,,,
soep-core,soep-core-2012-e5,9,eelt16,eelt16,"Sonstige Unterstützung der Lehrer / Schule (wie Unterstützung bei Schulfesten, Ausflügen, Pausenraumgestaltung etc.)",,Provide support to teacher / school in other ways (school parties or school trips),,,bin,,,
soep-core,soep-core-2012-e5,9,eelt17,eelt17,Mitglied im Förderverein,,Member of booster club,,,bin,,,
soep-core,soep-core-2012-e5,9,eelt15,eelt15,Nichts davon,,None of the above,,,bin,,,
soep-core,soep-core-2012-e5,10,,,"Inwieweit treffen die folgenden Aussagen auf das Kind zu?

Das Kind ....",,To what extent do the following statements apply to your child? My child …,,,txt,,,"Researcher Notes:
Statement 1 = ESCH22
**Statement 2 = ESCH26
**Statement 3 = ESCH27
**Statement 4 = ESCH28
**Statement 5 = ESCH23
**Statement 6 = ESCH29
**Statement 7 = ESCH25
"
soep-core,soep-core-2012-e5,10,esch22,esch22,geht gerne in die Schule,,likes to go to school.,,esch x 4,cat,,,
soep-core,soep-core-2012-e5,10,esch26,esch26,versteht sich nicht gut mit seinen Klassenkameraden,,gets along with his/her classmates.,,esch x 4,cat,,,
soep-core,soep-core-2012-e5,10,esch27,esch27,empfindet Schule als eine reine Zeitverschwendung,,thinks school is a waste of time.,,esch x 4,cat,,,
soep-core,soep-core-2012-e5,10,esch28,esch28,nimmt Arbeit in der Schule nie ernst,,does not take school seriously.,,esch x 4,cat,,,
soep-core,soep-core-2012-e5,10,esch23,esch23,kommt im Unterricht gut mit,,Keeps up in his/her classes.,,esch x 4,cat,,,
soep-core,soep-core-2012-e5,10,esch29,esch29,kommt mit dem jetzigen Lehrer oder der Lehrerin nicht gut aus,,Does not get along well with the teacher.,,esch x 4,cat,,,
soep-core,soep-core-2012-e5,10,esch25,esch25,lernt gerne,,enjoys learning.,,esch x 4,cat,,,
soep-core,soep-core-2012-e5,11,,ehaus1,"Wo macht Ihr Kind meistens seine Hausaufgaben? Zu Hause, bei Verwandten / Freunden, in der Nachmittagsbetreuung / im Hort oder woanders?",,"Where does your child do his/her homework most of the time? At home, at relative's/friend's home, in after-school care, or elsewhere?",,ehaus1,cat,,,
soep-core,soep-core-2012-e5,12,,ehaus2,"Wie häufig wird Ihr Kind von ihnen oder Ihrem Partner selbst bei Hausaufgaben unterstützt (d.h. Sie erklären, kontrollieren, oder sitzen dabei)?",,How often do you or your partner help your child with his/her homework?,,ehaus2,cat,,,
soep-core,soep-core-2012-e5,13,,,Wie häufig übt das Kind die folgenden Freizeitbeschäftigungen aus?,,How often does your child take part in the following leisure activities,,,txt,,,"Researcher Notes:
Statement 1 = EFZ01
**Statement 2 = EFZ02
**Statement 3 = EFZ14
**Statement 4 = EFZ03
**Statement 5 = EFZ04
**Statement 6 = EFZ05
**Statement 7 = EFZ17
**Statement 8 = EFZ06
**Statement 9 = EFZ07
**Statement 10 = EFZ18
**Statement 11 = EFZ08
**Statement 12 = EFZ10
**Statement 13 = EFZ19
**Statement 14 = EFZ16
**Statement 15 =  EFZ20
"
soep-core,soep-core-2012-e5,13,efz01,efz01,Fernsehen/Video/DVD,,Watching TV/DVD,,freizeit kind,cat,,,
soep-core,soep-core-2012-e5,13,efz02,efz02,Computerspiele,,Playing computer games,,freizeit kind,cat,,,
soep-core,soep-core-2012-e5,13,efz14,efz14,Im Internet surfen/chatten,,Surfing/chatting on the Internet,,freizeit kind,cat,,,
soep-core,soep-core-2012-e5,13,efz03,efz03,Musik hören,,Listening to music,,freizeit kind,cat,,,
soep-core,soep-core-2012-e5,13,efz04,efz04,Musik machen,,Playing music,,freizeit kind,cat,,,
soep-core,soep-core-2012-e5,13,efz05,efz05,Sport treiben,,Doing sports,,freizeit kind,cat,,,
soep-core,soep-core-2012-e5,13,efz17,efz17,Mit der Familie etwas unternehmen z.B. Ausflüge oder Ähnliches,,"Doing things with the family such as excursions, etc.",,freizeit kind,cat,,,
soep-core,soep-core-2012-e5,13,efz06,efz06,"Tanz, Theater oder Ähnliches",,"Dance, theater, etc.",,freizeit kind,cat,,,
soep-core,soep-core-2012-e5,13,efz07,efz07,Technisches Werken und Arbeiten,,Technical projects and construction,,freizeit kind,cat,,,
soep-core,soep-core-2012-e5,13,efz18,efz18,Malen und Basteln,,"Painting, arts and crafts",,freizeit kind,cat,,,
soep-core,soep-core-2012-e5,13,efz08,efz08,Lesen,,Reading,,freizeit kind,cat,,,
soep-core,soep-core-2012-e5,13,efz10,efz10,Einfach nichts tun/abhängen/träumen,,"Doing nothing, relaxing, dreaming",,freizeit kind,cat,,,
soep-core,soep-core-2012-e5,13,efz19,efz19,Mit Freunden zusammen sein,,Spending time with friends,,freizeit kind,cat,,,
soep-core,soep-core-2012-e5,13,efz16,efz16,"Kirchgang, Besuch religiöser Veranstaltungen",,"Going to church, religious events",,freizeit kind,cat,,,
soep-core,soep-core-2012-e5,13,efz20,efz20,"Jugendgruppen (Pfadfinder, kirchliche Gruppen, Umweltgruppen)",,"Youth groups (e.g., Pathfinders, church youth groups, environmental groups, etc.)",,freizeit kind,cat,,,
soep-core,soep-core-2012-e5,14,,,"Wo und mit wem nimmt das Kind die folgenden Mahlzeiten gewöhnlich ein? Auch wenn es nicht immer gleicht ist, geben Sie bitte an, wie das an Wochentagen, an Samstagen und auch an Sonntagen meistens ist.",,Where and with whom does your child eat his/her meals? Please answer for normal weekdays and weekends.,,,txt,,,
soep-core,soep-core-2012-e5,14,eessfw,eessfw,[unter der Woche] Frühstück,,[during the week] breakfast,,eessxx,cat,,,
soep-core,soep-core-2012-e5,14,eessmw,eessmw,[unter der Woche] Mittagessen,,[during the week] lunch,,eessxx,cat,,,
soep-core,soep-core-2012-e5,14,eessaw,eessaw,[unter der Woche] Abendessen,,[during the week] dinner,,eessxx,cat,,,
soep-core,soep-core-2012-e5,14,eessfsa,eessfsa,[am Samstag] Frühstück,,[saturdays] breakfast,,eessxx,cat,,,
soep-core,soep-core-2012-e5,14,eessmsa,eessmsa,[am Samstag] Mittagessen,,[saturdays] lunch,,eessxx,cat,,,
soep-core,soep-core-2012-e5,14,eessasa,eessasa,[am Samstag] Abendessen,,[saturdays] dinner,,eessxx,cat,,,
soep-core,soep-core-2012-e5,14,eessfso,eessfso,[am Sonntag] Frühstück,,[sundays] breakfast,,eessxx,cat,,,
soep-core,soep-core-2012-e5,14,eessmso,eessmso,[am Sonntag] Mittagessen,,[sundays] lunch,,eessxx,cat,,,
soep-core,soep-core-2012-e5,14,eessaso,eessaso,[am Sonntag] Abendessen,,[sundays] dinner,,eessxx,cat,,,
soep-core,soep-core-2012-e5,15,,,"Wie würden Sie Ihr Kind im Vergleich zu anderen Kindern gleichen Alters beurteilen?

Mein Kind ...","Je weiter links Sie Ihr Kreuz machen, um so mehr trifft die linke Eigenschaft zu,
je weiter rechts Sie Ihr Kreuz machen, um so mehr trifft die rechte Eigenschaft zu!",How would you rank your child in comparison to other children of the same age? My child …,"The further to the left you make the X, the more the characteristic on the left side applies. The further to the right you make the X, the more the characteristic on the right side applies.",,txt,,,"Researcher Notes:
Number of Fields: 11
**
**1 = EVERG01
**2 = EVERG02
**3 = EVERG03
**4 = EVERG04
**5 = EVERG05
**6 = EVERG06
**7 = EVERG07
**8 = EVERG08
**9 = EVERG09
**10 = EVERG10
"
soep-core,soep-core-2012-e5,15,everg01,everg01,,,,,everg01,cat,,,
soep-core,soep-core-2012-e5,15,everg02,everg02,,,,,everg02,cat,,,
soep-core,soep-core-2012-e5,15,everg03,everg03,,,,,everg03,cat,,,
soep-core,soep-core-2012-e5,15,everg04,everg04,,,,,everg04,cat,,,
soep-core,soep-core-2012-e5,15,everg05,everg05,,,,,everg05,cat,,,
soep-core,soep-core-2012-e5,15,everg06,everg06,,,,,everg06,cat,,,
soep-core,soep-core-2012-e5,15,everg07,everg07,,,,,everg07,cat,,,
soep-core,soep-core-2012-e5,15,everg08,everg08,,,,,everg08,cat,,,
soep-core,soep-core-2012-e5,15,everg09,everg09,,,,,everg09,cat,,,
soep-core,soep-core-2012-e5,15,everg10,everg10,,,,,everg10,cat,,,
soep-core,soep-core-2012-e5,16,,,Ist von einem Arzt bei Ihrem Kind einmal eine der folgenden Erkrankungen oder Störungen festgestellt worden?,Bitte alles Zutreffende ankreuzen!,Has your child been diagnosed by a doctor as having one of the following health conditions or impairments?,Please mark all that apply!,,txt,,,"Researcher Notes:
1 = ESTOR1
**2 = ESTOR15
**3 = ESTOR3
**4 = ESTOR4
**5 = ESTOR5
**6 = ESTOR6
**7 = ESTOR7
**9 = ESTOR9
"
soep-core,soep-core-2012-e5,16,estor1,estor1,"Atemwegserkrankungen (Asthma, Bronchitis oder Ähnliches)",,"Respiratory disease (Asthma, bronchitis or similar)",,,bin,,,
soep-core,soep-core-2012-e5,16,estor15,estor15,Allergien,,Allergies,,,bin,,,
soep-core,soep-core-2012-e5,16,estor3,estor3,Neurodermitis,,Neurodermatitis,,,bin,,,
soep-core,soep-core-2012-e5,16,estor4,estor4,"Fehlsichtigkeit (z.B. Kurz- bzw. Weitsichtigkeit, Schielen)",,"Vision impairment (e.g., crossed eyes)",,,bin,,,
soep-core,soep-core-2012-e5,16,estor5,estor5,Ernährungsstörungen,,Nutritional disorder,,,bin,,,
soep-core,soep-core-2012-e5,16,estor6,estor6,"Störungen der Motorik, des Bewgungsapparates",,Motor impairment (impairments of the locomotor apparatus),,,bin,,,
soep-core,soep-core-2012-e5,16,estor7,estor7,Sonstige Störungen / Behinderungen,,Other impairment or disorder,,,bin,,,
soep-core,soep-core-2012-e5,16,estor9,estor9,"Nein, nichts davon",,"No, none of those",,,bin,,,
soep-core,soep-core-2012-e5,16,estor8,estor8,[Sonstige Störungen / Behinderungen] und zwar:,,[Other disorders]: ,,,chr,16:estor07=1,,
soep-core,soep-core-2012-e5,17,,eges01,Wie würden Sie den allgemeinen Gesundheitszustand des Kindes beschreiben?,,How would you describe your child's current state of health?,,eges01,cat,,,
soep-core,soep-core-2012-e5,18,,eges1,"Gab es bei Ihrem Kind in den letzten 12 Monaten gesundheitliche Probleme, die einen Krankenhausaufenthalt notwendig machten?",,Did your child experience health problems in the last 12 months that necessitated a hospital stay?,,eges1,cat,,,
soep-core,soep-core-2012-e5,18,eges2,eges2,[Ja] und zwar … Tage,,[Yes] … days,,,int,18;eges1=1,,"Filter:
ASK ONLY IF Q1801 : EGES1=1
"
soep-core,soep-core-2012-e5,19,,earz1,Mussten Sie in den letzten 3 Monaten wegen gesundheitlicher Probleme Ihres Kindes einen Arzt aufsuchen oder rufen?,,Did you have to go to or call a doctor in the last 3 months because of your child's health problems?,,earz1,cat,,,
soep-core,soep-core-2012-e5,19,earz2,earz2,[Ja] und zwar ... mal,,[Yes] … times,,,int,19;earz1=1,,"Filter:
ASK ONLY IF Q1901 : EARZ1=1
"
soep-core,soep-core-2012-e5,20,,,"Nun zum Thema Freundes- und Bekanntenkreis: Sagen Sie uns bitte zunächst, wie viele enge Freunde hat das Kind? Es kann sich sowohl um Kinder als auch um Erwachsene handeln",,Now to the subject circle of friend. How many close friends has you child? Can be children and adults,,,txt,,,
soep-core,soep-core-2012-e5,20,efreu,efreu,Anzahl Kinder,,Number children:,,,int,,,
soep-core,soep-core-2012-e5,20,efreua,efreua,Anzahl Erwachsene,,Number adults:,,,int,,,
soep-core,soep-core-2012-e5,21,,,"Im Folgenden haben wir eine Reihe von Aussagen aufgelistet: Inwieweit treffen die folgenden Aussagen auf das Kind zu?
Bitte berücksichtigen Sie bei der Antwort das Verhalten Ihres Kindes in den letzten sechs Monaten. Das Kind …","Antworten Sie bitte anhand der folgenden Skala:
Der Wert 1 bedeutet: trifft überhaupt nicht zu. Der Wert 7 bedeutet: trifft voll zu.
Mit den Werten zwischen 1 und 7 können Sie Ihre Meinung abstufen.","To what extent do you agree with the following statements about your child? For each answer, think about your child’s behavior in the last six months. The child …","Please answer on a scale from 1 to 7, where 1 means “does not apply at all” and 7 means “applies completely”",,txt,,,"Researcher Notes:
1 = EVER01
**2 = EVER02
**3 = EVER03
**4 = EVER04
**5 = EVER05
**6 = EVER06
**7 = EVER07
**8 = EVER08
**9 = EVER09
**10 = EVER10
**11 = EVER11
**12 = EVER12
**13 = EVER13
**14 = EVER14
**15 = EVER15
**16 = EVER16
**17 = EVER17
**18 = EVER25
"
soep-core,soep-core-2012-e5,21,ever01,ever01,ist rücksichtsvoll,,is thoughtful,,ever xx,cat,,,
soep-core,soep-core-2012-e5,21,ever02,ever02,"ist unruhig, überaktiv, kann nicht lange stillsitzen",,"is restless, hyperactive, can’t sit still long",,ever xx,cat,,,
soep-core,soep-core-2012-e5,21,ever03,ever03,teilt gerne mit anderen Kindern,,likes to share with other children,,ever xx,cat,,,
soep-core,soep-core-2012-e5,21,ever04,ever04,"hat oft Wutanfälle, ist aufbrausend",,"often has tantrums, is short-tempered",,ever xx,cat,,,
soep-core,soep-core-2012-e5,21,ever05,ever05,"ist ein Einzelgänger, spielt meist alleine",,"is a loner, usually plays alone",,ever xx,cat,,,
soep-core,soep-core-2012-e5,21,ever06,ever06,"ist hilfsbereit, wenn andere verletzt, krank oder betrübt sind",,"is helpful when others are hurt, sick, or sad",,ever xx,cat,,,
soep-core,soep-core-2012-e5,21,ever07,ever07,ist ständig zappelig,,is always fidgety,,ever xx,cat,,,
soep-core,soep-core-2012-e5,21,ever08,ever08,streitet sich oft mit anderen Kindern oder schikaniert sie,,often fights with or picks on other children,,ever xx,cat,,,
soep-core,soep-core-2012-e5,21,ever09,ever09,ist oft unglücklich oder niedergeschlagen; weint häufig,,"is often unhappy or downcast, cries a lot",,ever xx,cat,,,
soep-core,soep-core-2012-e5,21,ever10,ever10,ist im Allgemeinen bei anderen Kindern beliebt,,is generally well-liked by other children,,ever xx,cat,,,
soep-core,soep-core-2012-e5,21,ever11,ever11,"ist leicht ablenkbar, unkonzentriert",,"is easily distracted, unfocused",,ever xx,cat,,,
soep-core,soep-core-2012-e5,21,ever12,ever12,ist nervös oder anklammernd in neuen Situationen; verliert leicht das Selbstvertrauen,,"is nervous or clingy in new situations, easily loses self-confidence",,ever xx,cat,,,
soep-core,soep-core-2012-e5,21,ever13,ever13,wird von anderen gehänselt oder schikaniert,,is often teased or picked on by others,,ever xx,cat,,,
soep-core,soep-core-2012-e5,21,ever14,ever14,"hilft anderen oft freiwillig (Eltern, Erzieher, anderen Kindern)",,"often helps others of his/her own accord (parents, teachers, other children)",,ever xx,cat,,,
soep-core,soep-core-2012-e5,21,ever15,ever15,kommt besser mit Erwachsenen aus als mit anderen Kindern,,gets along better with adults than with children,,ever xx,cat,,,
soep-core,soep-core-2012-e5,21,ever16,ever16,hat viele Ängste; fürchtet sich leicht,,"has a lot of fears, gets scared easily",,ever xx,cat,,,
soep-core,soep-core-2012-e5,21,ever17,ever17,führt Aufgaben zu Ende; kann sich lange konzentrieren,,"finishes what he/she starts, can concentrate for a long time",,ever xx,cat,,,
soep-core,soep-core-2012-e5,21,ever25,ever25,denkt nach bevor es handelt,,thinks before acting,,ever xx,cat,,,
soep-core,soep-core-2012-e5,22,,ehbet,Sind Sie selbst die Hauptbetreuungsperson des Kindes?,,Are you the child's main caregiver?,,ehbet,cat,,,
soep-core,soep-core-2012-e5,23,,,"Wenn Sie einmal an eine normale Woche denken:
Gibt es außer Ihnen andere Personen oder Einrichtungen, die die Betreuung des Kindes zeitweise übernehmen?
Wenn ja, welche Personen und Einrichtungen sind das und wie viele Stunden pro Woche übernehmen sie die Betreuung?",,"If you think about a normal week, is there anybody else who regularly spends time looking after your child? If so, who is it and how many hours a week do they spend looking after the child?",,,txt,,,"Researcher Notes:
Statement 1 = ESIT1
**Statement 2 = ESIT2
**Statement 3 = ESIT3
**Statement 4 = ESIT4
**Statement 5 = ESIT5
**Statement 6 = ESIT7
**Statement 7 = ESIT9
**Statement 8 = ESIT10
**Statement 9 = ESIT11
**Statement 10 = ESIT12
"
soep-core,soep-core-2012-e5,23,2,,Folgende Personen:,,Following persons:,,,txt,,,
soep-core,soep-core-2012-e5,23,esit1,esit1,(Ehe) Partner/in,,Spouse / partner,,,bin,,,
soep-core,soep-core-2012-e5,23,esit2,esit2,"Vater/Mutter des Kindes, der/die außerhalb des Haushalts lebt",,Child’s father/mother (living outside the household),,,bin,,,
soep-core,soep-core-2012-e5,23,esti3,esti3,Großeltern des Kindes,,Child's grandparents,,,bin,,,
soep-core,soep-core-2012-e5,23,esti4,esti4,Ältere Geschwister des Kindes,,Older siblings,,,bin,,,
soep-core,soep-core-2012-e5,23,esti5,esti5,Andere Verwandte,,Other relatives,,,bin,,,
soep-core,soep-core-2012-e5,23,esit7,esit7,"Kinderfrau, Au-pair",,"Childcare provide, au-pair",,,bin,,,
soep-core,soep-core-2012-e5,23,esit9,esit9,"Andere (z.B. ""Babysitter"", Eltern von Freunden des Kindes, Freunde oder Nachbarn)",,"Other (babysitter, parents of the child's friends, friends or neighbors)",,,bin,,,
soep-core,soep-core-2012-e5,23,10,,Folgende Einrichtungen/Organisationen,,Following institutions / organizations,,,txt,,,
soep-core,soep-core-2012-e5,23,esit10,esit10,"Schule (Unterricht, AGs, frei betreute Zeit)",,"School (classes, clubs, after-school groups)",,,bin,,,
soep-core,soep-core-2012-e5,23,esit11,esit11,Hort (Schulhort oder andere hortähnliche Einrichtungen),,After-school center,,,bin,,,
soep-core,soep-core-2012-e5,23,esit12,esit12,"Soziale Einrichtungen, Zentren, Freizeitorganisationen",,Social service organization,,,bin,,,
soep-core,soep-core-2012-e5,23,14,esitno,"Nein, keine Person oder Einrichtung",,"No, nobody",,,bin,,,
soep-core,soep-core-2012-e5,23,estd1,estd1,Stunden [(Ehe) Partner/in],,Hours [spouse / partner],,,int,23:esit1=1,,"Filter:
ASK ONLY IF Q2301 : ESIT XX ST=1 & SC=1
"
soep-core,soep-core-2012-e5,23,estd2,estd2,"Stunden [Vater/Mutter des Kindes, der/die außerhalb des Haushalts lebt]",,Hours [father / mother],,,int,23:esit2=1,,"Filter:
ASK ONLY IF Q2301 : ESIT XX ST=2 & SC=1
"
soep-core,soep-core-2012-e5,23,estd3,estd3,Stunden [Großeltern des Kindes],,Hours [grandparents],,,int,23:esit3=1,,"Filter:
ASK ONLY IF Q2301 : ESIT XX ST=3 & SC=1
"
soep-core,soep-core-2012-e5,23,estd4,estd4,Stunden [Ältere Geschwister des Kindes],,Hours [siblings],,,int,23:esit4=1,,"Filter:
ASK ONLY IF Q2301 : ESIT XX ST=4 & SC=1
"
soep-core,soep-core-2012-e5,23,estd5,estd5,Stunden [Andere Verwandte],,Hours [other relatives],,,int,23:esit5=1,,"Filter:
ASK ONLY IF Q2301 : ESIT XX ST=5 & SC=1
"
soep-core,soep-core-2012-e5,23,estd7,estd7,"Stunden [Kinderfrau, Au-pair]",,Hours [childcare provider / au pair],,,int,23:esit7=1,,"Filter:
ASK ONLY IF Q2301 : ESIT XX ST=7 & SC=1
"
soep-core,soep-core-2012-e5,23,estd9,estd9,"Stunden [Andere (z.B. ""Babysitter"", Eltern von Freunden des Kindes, Freunde oder Nachbarn)]",,Hours [other],,,int,23:esit9=1,,
soep-core,soep-core-2012-e5,23,estd10,estd10,"Stunden [Schule (Unterricht, AGs, frei betreute Zeit)]",,Hours [school],,,int,23:esit10=1,,"Filter:
ASK ONLY IF Q2301 : ESIT XX ST=9 & SC=1
"
soep-core,soep-core-2012-e5,23,estd11,estd11,Stunden [Hort (Schulhort oder andere hortähnliche Einrichtungen)],,Hours [after-school daycare center],,,int,23:esit11=1,,"Filter:
ASK ONLY IF Q2301 : ESIT XX ST=10 & SC=1
"
soep-core,soep-core-2012-e5,23,estd12,estd12,"Stunden [Soziale Einrichtungen, Zentren, Freizeitorganisationen]",,"Hours [social service organization, centers, recreational organizations]",,,int,23:esit12=1,,"Filter:
ASK ONLY IF Q2301 : ESIT XX ST=11 & SC=1
"
soep-core,soep-core-2012-e5,24,,etg1,Erhält das Kind Taschengeld?,,Does your child get an allowance?,,etg1,cat,,2 @ A,
soep-core,soep-core-2012-e5,25,,,Wie viel Taschengeld erhält das Kind?,,How much allowance does your child get?,,,txt,24;etg1=1,,
soep-core,soep-core-2012-e5,25,etg2,etg2,Pro Woche … Euro,,… Euros per week,,,int,,,
soep-core,soep-core-2012-e5,25,etg3,etg3,Pro Monat … Euro,,… Euros per month,,,int,,,
soep-core,soep-core-2012-e5,A,,,Welches Datum haben wir heute?,,What's the date today?,,,txt,,,
soep-core,soep-core-2012-e5,A,datt,datt,Tag,,Day,,,int,,,
soep-core,soep-core-2012-e5,A,datm,datm,Monat,,Month,,,int,,,
soep-core,soep-core-2012-e5,B,,form,Wie wurde die Befragung durchgeführt?,,How was the interview conducted?,,form,cat,,,
soep-core,soep-core-2012-e5,C,,,Interviewdauer,,Duration of the interview:,,,txt,,,
soep-core,soep-core-2012-e5,C,dauer1,dauer1,Das mündliche (Teil-)Interview dauerte … Minuten,,The oral (complete or partial) interview lasted … minutes,,,int,,,
soep-core,soep-core-2012-e5,C,dauer2,dauer2,Befragter brauchte zum Selbstausfüllen … Minuten,(bitte erfragen),The respondent needed … minutes to complete the questionnaire,(Please ask),,int,,,
soep-core,soep-core-2012-e5,D,,text,Sonstige Hinweise,,Other notes:,,,chr,,,
soep-core,soep-core-2012-e5,Interviewer,,,,,,,,txt,,,
soep-core,soep-core-2012-e5,Interviewer,listnr,listnr,Listen-Nr.,,,,,int,,,
soep-core,soep-core-2012-e5,Interviewer,lfdnr,lfdnr,Lfd. Nr.,,,,,int,,,
soep-core,soep-core-2012-e5,Interviewer,4,,Ich bestätige die korrekte Durchführung des Interviews: ,,,,,txt,,,
soep-core,soep-core-2012-e5,Interviewer,intnr,intnr,Abrechnungs-Nummer,,,,,int,,,
