"study","dataset","variable","label","concept"
"soep-fid","f12h","f12h047d1","Bildungspaket (): Befoerd. z. Schule(l. Jahr)","hvergl8"
"soep-fid","f10p","f10p072d2","Urlaubsgeld Vorjahr Betrag","pzus041"
"soep-fid","f10p","f10p072e1","Gewinnbeteiligung etc. Vorjahr","pzus05"
"soep-fid","f10p","f10p072e2","Gewinnbeteiligung Vorjahr Betrag","pzus051"
"soep-fid","f10p","f10p072f1","Sonstige Sonderverguetung Vorjahr","pzus06"
"soep-fid","f10p","f10p072f2","Sonstige Sonderverguetung Vorjahr Betrag","pzus061"
"soep-fid","f10p","f10p072g","Keine Sonderverguetung Vorjahr","pzus07"
"soep-fid","f10p","f10p073a","Kurzarbeitergeld","pzus08"
"soep-fid","f10p","f10p073b","Kurzarbeitergeld Dauer","pzus081"
"soep-fid","f10p","f10p075a1","Altersrente gesetzliche Rentenversicherung (in EURO)","par1"
"soep-fid","f10p","f10p075a2","Witwenrente gesetzliche Rentenversicherung (in EURO)","pwr1"
"soep-fid","f10p","f10p075b1","Altersrente Beamtenversorgung (in EURO)","par2"
"soep-fid","f10p","f10p075b2","Witwenrente Beamtenversorgung (in EURO)","pwr2"
"soep-fid","f12h","f12h047e3","Lernfoerderung: private Leistungen","hvergl9b"
"soep-fid","f12h","f12h047f2","Mittagessen: oeffentliche Leistungen","hvergl10a"
"soep-fid","f12h","f12h047e2","Lernfoerderung: oeffentliche Leistungen","hvergl9a"
"soep-fid","f12h","f12h047f1","Bildungspaket (): Mittagessen (l. Jahr)","hvergl10"
"soep-fid","f12h","f12h047g3","Vereins- o. Mitgliedsbeitr.: private Leistungen","hvergl11b"
"soep-fid","f12h","f12h047g2","Vereins- o. Mitgliedsbeitr.: oeffentliche Leistungen","hvergl11a"
"soep-fid","f12h","f12h047f3","Mittagessen: private Leistungen","hvergl10b"
"soep-fid","f12h","f12h051a","Unterhalt geleistet monatlich","hunt3"
"soep-fid","f12h","f12h051b","Unterhalt geleistet Hoehe","hunt4"
"soep-fid","f12h","f12h053a","Verhaeltnis Einnahmen zu Ausgaben","hspar3"
"soep-fid","f12h","f12h053b","Einnahmeueberschuss jaehrlich Hoehe","hspar4"
"soep-fid","f12h","f12h053c","Einnahmeueberschuss jaehrlich weiss nicht","hspar5"
"soep-fid","f12h","f12h053d","Ausgabenueberschuss jaehrlich Hoehe","hspar6"
"soep-fid","f12h","f12h053e","Ausgabenueberschuss jaehrlich weiss nicht","hspar7"
"soep-fid","f12h","f12h053f","Art der Deckung des Fehlbetrages","hspar8"
"soep-fid","f12h","f12h080a3","Auto Anschaffung Kosten","hi01b"
"soep-fid","f12h","f12h080b3","Motorrad, Moped Anschaffung Kosten","hi02b"
"soep-fid","f12h","f12h080c3","Mikrowelle Anschaffung Kosten","hi09b"
"soep-fid","f10p","f10p081a","Erwerbs-, Schwerbehinderung","pbeh1"
"soep-fid","f10p","f10p081b","Behinderungsgrad in Prozent","pbeh2"
"soep-fid","f10p","f10p082a","Arztbesuche Anzahl","pdr1"
"soep-fid","f12h","f12h080e3","Tiefkuehltruhe Anschaffung Kosten","hi18b"
"soep-fid","f12h","f12h080f3","Waschmaschine Anschaffung Kosten","hi11b"
"soep-fid","f12h","f12h080g1","Waeschetrockner im HH","hi19"
"soep-fid","f10p","intid","Interviewernummer","pintnr"
"soep-fid","f12h","f12h080g3","Waeschetrockner Anschaffung Kosten","hi19b"
"soep-fid","f12h","f12h080h3","Stereoanlage Anschaffung Kosten","hi06b"
"soep-fid","f12lela","f12l009","Zeitpunkt Erwerb deutscher Staatsangehoerigkeit","psta3a"
"soep-fid","f12lela","f12l007","Staatsangehoerigkeit","pnatnr"
"soep-fid","bioparen","vstreit","Argue Or Fight With Father When Respondent 15","item_4318"
"soep-fid","bioparen","vtodj","Year Of Death Father","_1571_p_fhf"
"soep-fid","f11p","f11p002b1","Besorgungen Std., Werktg.","pwerk2"
"soep-fid","bioresid","brmovein","Year Moved Into Current Residence","item_4484"
"soep-fid","f12h","f12h080o3","Telefon(Festnetz) Anschaffung Kosten","hi12b"
"soep-fid","f12h","f12h080p3","Handy (Mobiltelefon) Anschaffung Kosten","hi13b"
"soep-fid","f12h","f12h080q3","Faxgeraet Anschaffung Kosten","hi14b"
"soep-fid","f12h","f12h080r3","ISDN-Anschluss Anschaffung Kosten","hi15b"
"soep-fid","f12h","f12h080s1","Ferienhaus/-wohnung im HH","hi20"
"soep-fid","f12h","f12h080s2","Ferienhaus/-wohnung Anschafffung","hi20a"
"soep-fid","f12h","f12h080s3","Ferienhaus/-wohnung Anschafffung Kosten","hi20b"
"soep-fid","f12h","f12h081a1","Ausgaben lebensmittel","haus01a"
"soep-fid","f10pbrutto","f10auszugj","Jahr des Auszugs","auszugj"
"soep-fid","f10pbrutto","f10auszugm","Monat des Auszugs","auszugm"
"soep-fid","f10pbrutto","f10befstat","Befragungsstatus","befstat"
"soep-fid","f10pbrutto","f10dj","Kognitiver Test - Lust auf DJ","dj"
"soep-fid","f10pbrutto","f10einzugj","Jahr des Einzugs","einzugj"
"soep-fid","f10pbrutto","f10einzugm","Monat des Einzugs","einzugm"
"soep-fid","f10pbrutto","f10ewstatu","Erwerbsstatus von Nicht-Teilnehmern","ewstatu"
"soep-fid","f12h","f12h081c1","Ausgaben Bekleidung/Schuhe","haus03a"
"soep-fid","hpfad","f11hpop","Populationszugehoerigkeit 2011","hpop"
"soep-fid","f12h","f12h081c3","Ausgaben Bekleidung/Schuhe jaehrlich","haus03c"
"soep-fid","f12h","f12h081c4","Ausgaben Bekleidung/Schuhe k.A.","haus03ka"
"soep-fid","f12h","f12h081d1","Ausgaben Koerperpflege/Kosmetik/Friseur","haus04a"
"soep-fid","f12h","f12h081d2","Ausgaben Koerperpflege/Kosmetik/Friseur monatlich","haus04b"
"soep-fid","f12h","f12h081d3","Ausgaben Koerperpflege/Kosmetik/Friseur jaehrlich","haus04c"
"soep-fid","f12h","f12h081d4","Ausgaben Koerperpflege/Kosmetik/Friseur k.A.","haus04ka"
"soep-fid","f12h","f12h081e1","Ausgaben Gesundheit","haus05a"
"soep-fid","f12h","f12h081e2","Ausgaben Gesundheit monatlich","haus05b"
"soep-fid","f12h","f12h081e3","Ausgaben Gesundheit jaehrlich","haus05c"
"soep-fid","pbiospe","beginb1","Age spell begins, 1. initial biography spell","item_5688"
"soep-fid","pbiospe","beginb2","Age spell begins, 2. initial biography spell","item_5696"
"soep-fid","f12h","f12h081f2","Ausgaben Telekommunikation monatlich","haus06b"
"soep-fid","f12h","f12h081f3","Ausgaben Telekommunikation jaehrlich","haus06c"
"soep-fid","f12h","f12h081f4","Ausgaben Telekommunikation k.A.","haus06ka"
"soep-fid","f12h","f12h081g1","Ausgaben Bildung/Weiterbildung","haus07a"
"soep-fid","f10pbrutto","f10pzugv","Zugehoerigkeit zum HH im Vorjahr","pzugv"
"soep-fid","f10pbrutto","f10sex","Geschlecht","sex"
"soep-fid","f10pbrutto","f10stell","Stellung zum HV, Bezugsperson","stell"
"soep-fid","f10pbrutto","f10stistat","Stichprobenstatus","stistat"
"soep-fid","f12h","f12h081h2","Ausgaben Kultur monatlich","haus08b"
"soep-fid","f12h","f12h081h3","Ausgaben Kultur jaehrlich","haus08c"
"soep-fid","f12h","f12h081h4","Ausgaben Kultur k.A.","haus08ka"
"soep-fid","f12h","f12h081i1","Ausgaben Freizeit, Hobbies, Sport, Garten, Tiere","haus09a"
"soep-fid","f12h","f12h081i3","Ausgaben Freizeit, Hobbies, Sport, Garten, Tiere jaehrlich","haus09c"
"soep-fid","f10pgen","crsize10","Core size category of the company 2010","_pgen_pgallbet"
"soep-fid","f10pgen","requtr10","Required training for job 2010","_pgen_pgausb"
"soep-fid","f10pgen","autono10","Autonomy in occupational activity 2010","_pgen_pgautono"
"soep-fid","f10pgen","timedu10","Amount of education or training in years 2010","_pgen_pgbilzt"
"soep-fid","f10pgen","tenure10","Tenure in months 2010","_pgen_pgerwzt"
"soep-fid","f10pgen","marrst10","Marital Status in 2010","_pgen_pgfamstd"
"soep-fid","f12h","f12h081k2","Ausgaben lebens-/Rentenversicherung monatlich","haus11b"
"soep-fid","f10pgen","vcdeg10","Vocational degree attained 2010","_pgen_pgbbil01"
"soep-fid","f10pgen","colleg10","Completed college education 2010","_pgen_pgbbil02"
"soep-fid","f10pgen","vcnone10","No vocational degree 2010","_pgen_pgbbil03"
"soep-fid","f10pgen","vcdega10","Education abroad 2010","_pgen_pgbbila"
"soep-fid","f10pgen","vcdege10","Vocational degree attained - East 2010","_pgen_pgbbilo"
"soep-fid","f10pgen","scedu10","Secondary/tertiary school degree 2010","_pgen_pgsbil"
"soep-fid","f12h","f12h081m1","Ausgaben Kraftfahrzeugreparaturen","haus13a"
"soep-fid","f12h","f12h081m2","Ausgaben Kraftfahrzeugreparaturen monatlich","haus13b"
"soep-fid","f12h","f12h081m3","Ausgaben Kraftfahrzeugreparaturen jaehrlich","haus13c"
"soep-fid","f12h","f12h081m4","Ausgaben Kraftfahrzeugreparaturen k.A.","haus13ka"
"soep-fid","f12h","f12h081n1","Ausgaben Verkehrsmittel","haus14a"
"soep-fid","f12h","f12h081n2","Ausgaben Verkehrsmittel monatlich","haus14b"
"soep-fid","f12h","f12h081n3","Ausgaben Verkehrsmittel jaehrlich","haus14c"
"soep-fid","f12h","f12h081n4","Ausgaben Verkehrsmittel k.A.","haus14ka"
"soep-fid","f10pgen","degree10","Type of tertiary degree","_pgen_pgdegree"
"soep-fid","f12h","f12h081o2","Ausgaben Moebel, HH-Geraete monatlich","haus15b"
"soep-fid","f12pgen","degree12","Type of tertiary degree","fid_"
"soep-fid","f10pgen","egp10","Erikson-Goldthorpe Class Category 2010","_pgen_pgegp"
"soep-fid","f10pgen","emplst10","Employement Status 2010","_pgen_pgemplst"
"soep-fid","f10pgen","jobtrn10","Working in occupation trained for 2010","_pgen_pgerljob"
"soep-fid","f10pgen","expft10","Working experience full-time employment 2010","_pgen_pgexpft"
"soep-fid","f10pgen","exppt10","Working experience part-time employment 2010","_pgen_pgexppt"
"soep-fid","f10pgen","expue10","Unemployment experience 2010","_pgen_pgexpue"
"soep-fid","f10pgen","fdt_f10","Data source FIELD, DEGREE, TRAIN.","_pgen_pgfdt_f"
"soep-fid","f11pgen","fdt_f11","Data source FIELD, DEGREE, TRAIN.","fid_"
"soep-fid","f12h","f12h002b","Gruende fuer Umzug: Erwerb Eigenheim/Wohnung","humz02"
"soep-fid","f10pgen","field10","Field of tertiary education","_pgen_pgfield"
"soep-fid","f11pgen","field11","Field of tertiary education","fid_"
"soep-fid","f12h","f12h002e","Gruende fuer Umzug: Heirat","humz05"
"soep-fid","f11jugend","f11j021","Sportarten ausueben","jsp1"
"soep-fid","f12h","f12h002g","Gruende fuer Umzug: Fortzug aus Elternhaus","humz07"
"soep-fid","f10pgen","impgro10","Imputation flag for labgro10","_pgen_pgimpgro"
"soep-fid","f12h","f12h002i","Gruende fuer Umzug: bish. Whg. zu klein","humz09"
"soep-fid","f10pgen","is8810","4-digit ISCO-88 occupation code 2010","_pgen_pgis88"
"soep-fid","f12h","f12h002k","Gruende fuer Umzug: bish. Wohnkosten zu hoch","humz11"
"soep-fid","f12h","f12h002l","Gruende fuer Umzug: schlechte Ausstattung bish. Whg.","humz12"
"soep-fid","f12h","f12h002m","Gruende fuer Umzug: schlechte Lage bish. Whg.","humz13"
"soep-fid","f12h","f12h002n","Gruende fuer Umzug: bish. Whg. nicht alten/behindertengerecht","humz16"
"soep-fid","f12h","f12h002o","Gruende fuer Umzug: schlechtes Umfeld bish. Whg.","humz14"
"soep-fid","f12h","f12h002p","Gruende fuer Umzug: neues Umfeld besser fuer Lebenssit.","humz17"
"soep-fid","f12h","f12h002q","Gruende fuer Umzug: sonstiger Grund","humz15"
"soep-fid","f12h","f12h003a","Beurteilung  Whg.: finanzielle Belastung","hwohn01"
"soep-fid","f12h","f12h003b","Beurteilung  Whg.: Wohnungsgroesse","hwohn02"
"soep-fid","f12h","f12h003c","Beurteilung  Whg.: Wohnungsaustattung","hwohn03"
"soep-fid","f12h","f12h003d","Beurteilung  Whg.: Wohngegend","hwohn04"
"soep-fid","f12h","f12h003e","Beurteilung  Whg.: Wohnumwelt","hwohn05"
"soep-fid","f12h","f12h003f","Beurteilung  Whg.: Verkehrsverbindungen","hwohn06"
"soep-fid","f11p","f11p103b2","Befreundete Person 2: Geschlecht","p2bekb"
"soep-fid","f12h","f12h004a","Monat Einzug in Wohnung","hwm"
"soep-fid","f12h","f12h004b","Jahr Einzug in Wohnung","hwj"
"soep-fid","f12h","f12h005","Wohngegend des Zielhaushalt","hwohn08"
"soep-fid","f12h","f12h006","Haustyp des Zielhaushaltes","hhtyp"
"soep-fid","f12pgen","traina12","Apprenticeship - two-digit occupation KldB92","fid_"
"soep-fid","f12h","f12h008a","Baujahr des Hauses","hwohn09"
"soep-fid","f11pgen","trainb11","Vocational school - two-digit occupation KldB92","fid_"
"soep-fid","f12pgen","trainb12","Vocational school - two-digit occupation KldB92","fid_"
"soep-fid","f10pgen","trainc10","Higher vocational school - two-digit occupation KldB92","_pgen_pgtrainc"
"soep-fid","f11pgen","trainc11","Higher vocational school - two-digit occupation KldB92","fid_"
"soep-fid","f12pgen","trainc12","Higher vocational school - two-digit occupation KldB92","fid_"
"soep-fid","f10pgen","traind10","Civil servant training - two-digit occupation KldB92","_pgen_pgtraind"
"soep-fid","f11pgen","traind11","Civil servant training - two-digit occupation KldB92","fid_"
"soep-fid","f12h","f12h014b","Wohnung mit Innenbad,-dusche","hwohn11"
"soep-fid","f12h","f12h014g","Wohnung mit Keller,Abstellraeume","hwohn16"
"soep-fid","f12h","f12h014h","Wohnung mit Garten,-benutzung","hwohn17"
"soep-fid","f12h","f12h014i","Wohnung mit Alarmanlage","hwohn18"
"soep-fid","f12h","f12h014j","Wohnung mit Klimaanlage","hwohn19"
"soep-fid","f12h","f12h014k","Wohnung mit Sonnenkollekt., Solarenergie","hwohn20"
"soep-fid","f11p","f11p104h1","Sohn, Soehne vorhanden","p08v"
"soep-fid","f12h","f12h014m","Wohnung mit Aufzug","hwohn23"
"soep-fid","f12h","f12h015","Haupt-, Untermieter, Eigentuemer","hm01"
"soep-fid","f12h","f12h016","V. Eigentuemer verbilligt ueberl.Whg","hm02"
"soep-fid","f12h","f12h017","Sozialwohnung","hm03"
"soep-fid","f12h","f12h018a","Hoehe der monatlichen Miete","hm04"
"soep-fid","f12h","f12h018b","Zahle keine Miete","hm05"
"soep-fid","f12h","f12h019","Heizungs-,WWkosten in d. Miete","hm06"
"soep-fid","f12h","f12h020a","Monatl. Heizkosten, durchschnittl.","hm07"
"soep-fid","f12h","f12h020b","Monatl. Heizkosten, durchschnittl. -weiss nicht-","hm08"
"soep-fid","f12h","f12h021a","Monatl. Stromkosten, durchschnittl.","hm14"
"soep-fid","f10pkal","f10p1a01","Employed Full-Time In Prev. Yr.","kal1a01"
"soep-fid","f10pkal","f10p1a010","Employed Full-Time Oct 2009","kal1a010"
"soep-fid","f10pkal","f10p1a011","Employed Full-Time Nov 2009","kal1a011"
"soep-fid","f10pkal","f10p1a012","Employed Full-Time Dec 2009","kal1a012"
"soep-fid","f10pkal","f10p1a02","Employed Full-Time No. Months Prev. Yr.","kal1a02"
"soep-fid","f10pkal","f10p1b","Employed Part-Time Jan-Dec 2009","kal1b"
"soep-fid","f10pkal","f10p1b001","Employed Part-Time Jan 2009","kal1b001"
"soep-fid","f10pkal","f10p1b002","Employed Part-Time Feb 2009","kal1b002"
"soep-fid","f10pkal","f10p1b003","Employed Part-Time Mar 2009","kal1b003"
"soep-fid","f10pkal","f10p1b004","Employed Part-Time Apr 2009","kal1b004"
"soep-fid","f10pkal","f10p1b005","Employed Part-Time May 2009","kal1b005"
"soep-fid","f10pkal","f10p1b006","Employed Part-Time Jun 2009","kal1b006"
"soep-fid","f10pkal","f10p1b007","Employed Part-Time Jul 2009","kal1b007"
"soep-fid","f10pkal","f10p1b008","Employed Part-Time Aug 2009","kal1b008"
"soep-fid","f10pkal","f10p1b009","Employed Part-Time Sep 2009","kal1b009"
"soep-fid","f10pkal","f10p1b01","Employed Part-Time In Prev. Yr.","kal1b01"
"soep-fid","f10pkal","f10p1b010","Employed Part-Time Oct 2009","kal1b010"
"soep-fid","f10pkal","f10p1b011","Employed Part-Time Nov 2009","kal1b011"
"soep-fid","f10pkal","f10p1b012","Employed Part-Time Dec 2009","kal1b012"
"soep-fid","f10pkal","f10p1b02","Employed Part-Time No. Months Prev. Yr.","kal1b02"
"soep-fid","f10pkal","f10p1c","Education, Retraining Jan-Dec 2009","kal1c"
"soep-fid","f10pkal","f10p1c001","Education, Retraining Jan 2009","kal1c001"
"soep-fid","f10pkal","f10p1c002","Education, Retraining Feb 2009","kal1c002"
"soep-fid","f10pkal","f10p1c003","Education, Retraining Mar 2009","kal1c003"
"soep-fid","f10pkal","f10p1c004","Education, Retraining Apr 2009","kal1c004"
"soep-fid","f10pkal","f10p1c005","Education, Retraining May 2009","kal1c005"
"soep-fid","f10pkal","f10p1c006","Education, Retraining Jun 2009","kal1c006"
"soep-fid","f10pkal","f10p1c007","Education, Retraining Jul 2009","kal1c007"
"soep-fid","f10pkal","f10p1c008","Education, Retraining Aug 2009","kal1c008"
"soep-fid","f10pkal","f10p1c009","Education, Retraining Sep 2009","kal1c009"
"soep-fid","f10pkal","f10p1c01","Education, Retraining In Prev. Yr.","kal1c01"
"soep-fid","f10pkal","f10p1c010","Education, Retraining Oct 2009","kal1c010"
"soep-fid","f10pkal","f10p1c011","Education, Retraining Nov 2009","kal1c011"
"soep-fid","f10pkal","f10p1c012","Education, Retraining Dec 2009","kal1c012"
"soep-fid","f10pkal","f10p1c02","Education, Retraining No. Months Prev. Yr.","kal1c02"
"soep-fid","f10pkal","f10p1d","Registered Unemployed Jan-Dec 2009","kal1d"
"soep-fid","f10pkal","f10p1d001","Registered Unemployed Jan 2009","kal1d001"
"soep-fid","f10pkal","f10p1d002","Registered Unemployed Feb 2009","kal1d002"
"soep-fid","f10pkal","f10p1d003","Registered Unemployed Mar 2009","kal1d003"
"soep-fid","f10pkal","f10p1d004","Registered Unemployed Apr 2009","kal1d004"
"soep-fid","f10pkal","f10p1d005","Registered Unemployed May 2009","kal1d005"
"soep-fid","f10pkal","f10p1d006","Registered Unemployed Jun 2009","kal1d006"
"soep-fid","f10pkal","f10p1d007","Registered Unemployed Jul 2009","kal1d007"
"soep-fid","f12h","f12h044d","Unerwartete Geldbetraege: Lotteriegewinn","hlos4"
"soep-fid","f12h","f12h044e","Unerwartete Geldbetraege,Sachwerte k.A.","hloska"
"soep-fid","f12h","f12h045","Hoehe unerw. Geldbetrage,Sachwerte in EURO","hlos5"
"soep-fid","f12eltern3","f12e3pnrm","Laufende Personennummer der Mutter/des Vaters","pnr"
"soep-fid","f12h","f12h046a2","Kindergeld letzt.J Monate","hlkg2"
"soep-fid","f12h","f12h046a3","Kindergeld letzt.J Betrag(Monat)","hlkg3"
"soep-fid","f12h","f12h046b1","Kinderzuschlag letztes Jahr","hlkz1"
"soep-fid","f12h","f12h046b2","Kinderzuschlag letzt.J Monate","hlkz2"
"soep-fid","f12h","f12h046b3","Kinderzuschlag letzt.J Betrag(Monat)","hlkz3"
"soep-fid","f12h","f12h046c1","ALG2, Sozialgeld im letzten Jahr: bezogen","hlag1"
"soep-fid","f10pkal","f10p1e003","Retired Mar 2009","kal1e003"
"soep-fid","f10pkal","f10p1e004","Retired Apr 2009","kal1e004"
"soep-fid","f10pkal","f10p1e005","Retired May 2009","kal1e005"
"soep-fid","f10pkal","f10p1e006","Retired Jun 2009","kal1e006"
"soep-fid","f10pkal","f10p1e007","Retired Jul 2009","kal1e007"
"soep-fid","f10pkal","f10p1e008","Retired Aug 2009","kal1e008"
"soep-fid","f12h","f12h046e2","Hilfe Lebensunterhalt Monate","hlsh2"
"soep-fid","f10pkal","f10p1e01","Retired In Prev. Yr.","kal1e01"
"soep-fid","f12h","f12h046f1","Hilfe Alter/Erwerbsminderung","hlgs1"
"soep-fid","f12h","f12h046f2","Hilfe Alter/Erwerbsminderung Monate","hlgs2"
"soep-fid","f10pkal","f10p1e012","Retired Dec 2009","kal1e012"
"soep-fid","f10pkal","f10p1e02","Retired No. Months Prev. Yr.","kal1e02"
"soep-fid","f10pkal","f10p1f","Maternity Benefit Jan-Dec 2009","kal1f"
"soep-fid","f10pkal","f10p1f001","Maternity Benefit Jan 2009","kal1f001"
"soep-fid","f10pkal","f10p1f002","Maternity Benefit Feb 2009","kal1f002"
"soep-fid","f10pkal","f10p1f003","Maternity Benefit Mar 2009","kal1f003"
"soep-fid","f12h","f12h048a3","Anz. Kinder","hdkg1"
"soep-fid","f12h","f12h048b1","Kinderzuschlag heute","hdkz1"
"soep-fid","f12h","f12h048b2","Kinderzuschlag heute Betrag","hdkz2"
"soep-fid","f10pkal","f10p1f007","Maternity Benefit Jul 2009","kal1f007"
"soep-fid","f10pkal","f10p1f008","Maternity Benefit Aug 2009","kal1f008"
"soep-fid","f12h","f12h048d1","Pflegevers. leistungen","hdno"
"soep-fid","f12h","f12h048d2","Pflegevers. Betrag","hdpg2"
"soep-fid","f12h","f12h048e1","Hilfe Lebensunterhalt heute","hdsh1"
"soep-fid","f12h","f12h048e2","Hilfe Lebensunterhalt heute Betrag","hdsh2"
"soep-fid","f12h","f12h048f1","Alter/Erwerbsminderung heute","hdgs1"
"soep-fid","f12h","f12h048f2","Alter/Erwerbsminderung heute Betrag","hdgs2"
"soep-fid","f12h","f12h048g1","Wohngeldbezug heute","hdwg1"
"soep-fid","f12h","f12h050a","HH-Nettoeinkommen","hnetto"
"soep-fid","f12h","f12h050b","HH-Nettoeinkommensgruppen, Zusatz","znetto"
"soep-fid","f12h","f12h052a","Sparbetrag monatlich","hspar1"
"soep-fid","f12h","f12h052b","Sparbetrag monatlich Hoehe","hspar2"
"soep-fid","f12h","f12h080a1","Auto im HH","hi01"
"soep-fid","f12h","f12h080a2","Auto Anschafffung","hi01a"
"soep-fid","f12h","f12h080b1","Motorrad, Moped im HH","hi02"
"soep-fid","f12h","f12h080b2","Motorrad, Moped Anschafffung","hi02a"
"soep-fid","f12h","f12h080c1","Mikrowelle im HH","hi09"
"soep-fid","f10pkal","f10p1g010","In School, College Oct 2009","kal1g010"
"soep-fid","f10pkal","f10p1g011","In School, College Nov 2009","kal1g011"
"soep-fid","f10pkal","f10p1g012","In School, College Dec 2009","kal1g012"
"soep-fid","f12h","f12h080f1","Waschmaschine im HH","_2434_h_cod"
"soep-fid","f12h","f12h080f2","Waschmaschine Anschafffung","hi11a"
"soep-fid","f11p","f11p099h1","Scheidung","pfs061"
"soep-fid","f11luecke","f11p099h1","Scheidung","pfs061"
"soep-fid","f12h","f12h080i1","Fernseher im Haushalt","hi03"
"soep-fid","f12h","f12h080i2","Fernseher Anschaffung","hi03a"
"soep-fid","f12h","f12h080j1","DVD-Player im HH","hi05"
"soep-fid","f10pkal","f10p1h006","Military, Com. Service Jun 2009","kal1h006"
"soep-fid","f10pkal","f10p1h007","Military, Com. Service Jul 2009","kal1h007"
"soep-fid","f10pkal","f10p1h008","Military, Com. Service Aug 2009","kal1h008"
"soep-fid","f10pkal","f10p1h009","Military, Com. Service Sep 2009","kal1h009"
"soep-fid","f10pkal","f10p1h01","Military, Comm. Service In Prev. Yr.","kal1h01"
"soep-fid","f10pkal","f10p1h010","Military, Com. Service Oct 2009","kal1h010"
"soep-fid","f10pkal","f10p1h011","Military, Com. Service Nov 2009","kal1h011"
"soep-fid","f10pkal","f10p1h012","Military, Com. Service Dec 2009","kal1h012"
"soep-fid","f10pkal","f10p1h02","Military, Comm. Service No. Months Prev. Yr.","kal1h02"
"soep-fid","f10pkal","f10p1i","Full-Time Housework Jan-Dec 2009","kal1i"
"soep-fid","f10pkal","f10p1i001","Full-Time Housework Jan 2009","kal1i001"
"soep-fid","f10pkal","f10p1i002","Full-Time Housework Feb 2009","kal1i002"
"soep-fid","f10pkal","f10p1i003","Full-Time Housework Mar 2009","kal1i003"
"soep-fid","f10pkal","f10p1i004","Full-Time Housework Apr 2009","kal1i004"
"soep-fid","f10pkal","f10p1i005","Full-Time Housework May 2009","kal1i005"
"soep-fid","f12h","f12h080r1","ISDN-Anschluss im HH","hi15"
"soep-fid","f12h","f12h080r2","ISDN-Anschluss Anschafffung","hi15a"
"soep-fid","f12h","f12h054","Hilfe-,Pflegebeduerft. Person im HH","hpfleg"
"soep-fid","f12h","f12h055b","PNR hilfebeduerfige Person","hpnr"
"soep-fid","f12h","f12h055c","Hilfe bei Besorgungen ausser HH","hhil1"
"soep-fid","f10pkal","f10p1i010","Full-Time Housework Oct 2009","kal1i010"
"soep-fid","f10pkal","f10p1i011","Full-Time Housework Nov 2009","kal1i011"
"soep-fid","f10pkal","f10p1i012","Full-Time Housework Dec 2009","kal1i012"
"soep-fid","f10pkal","f10p1i02","Full-Time Housework No. Months Prev. Yr.","kal1i02"
"soep-fid","f10pkal","f10p1j","Other  Jan-Dec 2009","kal1j"
"soep-fid","f10pkal","f10p1j001","Other Jan 2009","kal1j001"
"soep-fid","f10pkal","f10p1j002","Other Feb 2009","kal1j002"
"soep-fid","f10pkal","f10p1j003","Other Mar 2009","kal1j003"
"soep-fid","f10pkal","f10p1j004","Other Apr 2009","kal1j004"
"soep-fid","f10pkal","f10p1j005","Other May 2009","kal1j005"
"soep-fid","f10pkal","f10p1j006","Other Jun 2009","kal1j006"
"soep-fid","f10pkal","f10p1j007","Other Jul 2009","kal1j007"
"soep-fid","f10pkal","f10p1j008","Other Aug 2009","kal1j008"
"soep-fid","f10pkal","f10p1j009","Other Sep 2009","kal1j009"
"soep-fid","f10pkal","f10p1j01","Other In Prev. Yr.","kal1j01"
"soep-fid","f10pkal","f10p1j010","Other Oct 2009","kal1j010"
"soep-fid","f10pkal","f10p1j011","Other Nov 2009","kal1j011"
"soep-fid","f10pkal","f10p1j012","Other Dec 2009","kal1j012"
"soep-fid","f10pkal","f10p1j02","Other No. Months Prev. Yr.","kal1j02"
"soep-fid","bioage17","byelkuem","Parents Show Interest In Performance","item_3645"
"soep-fid","bioage17","byellehr","Parents Visit Teacher Outside Office Hrs.","item_3729"
"soep-fid","bioage17","byelnida","Parents Not Involved In Any Of Above","item_3792"
"soep-fid","f11p","f11p022_is88","ISCO88, Hauptberuf","_634_p_oap"
"soep-fid","f12hbrutto","f12bula","Bundesland","bula"
"soep-fid","f12hbrutto","f12datummo","Monat letzter HH-Kontakt","datummo"
"soep-fid","f12hbrutto","f12datumtg","Tag letzter HH-Kontakt","datumtg"
"soep-fid","f12hbrutto","f12datumy","Interviewjahr","datumy"
"soep-fid","f12hbrutto","f12email","Haushalt mit e-mail-Anschluss","email"
"soep-fid","f12hbrutto","f12hader","Adressenermittlung Haushalt","hader"
"soep-fid","f12hbrutto","f12hadq","Informationsquelle","hadq"
"soep-fid","f12hbrutto","f12herg1","Hauptb.Bearbeitungsergebnis","herg1"
"soep-fid","f12hbrutto","f12hergs","Schlusscode Bearbeitungsergebnis","hergs"
"soep-fid","f12hbrutto","f12hform1","Hauptb.Bearbeitungsform","hform1"
"soep-fid","f12hbrutto","f12hforms","Schlusscode Bearbeitungsform","hforms"
"soep-fid","f12hbrutto","f12hhgr","Zahl der Personen im Haushalt","hhgr"
"soep-fid","bioage17","byeserre","In Comparison Do Not Have What I Deserve","item_3561"
"soep-fid","f12hbrutto","f12hpmax","Hoechste vergebene Personennummer im HH","hpmax"
"soep-fid","f12hbrutto","f12hstu","Bearbeitungsstufen Haushalt","hstu"
"soep-fid","f12hbrutto","f12htel","Telefon","htel"
"soep-fid","f12hbrutto","f12htyp","Haushaltstyp","htyp"
